id,name,type,start_time,finish_time,event_date,st_envelope
1300,The Standard Life Tower,dance,10,12,"May 28, 2019",0103000020E61000000100000005000000BF88111DDD845CC031EAFFC12C864940BF88111DDD845CC0F44421133A864940070D58CDCE845CC0F44421133A864940070D58CDCE845CC031EAFFC12C864940BF88111DDD845CC031EAFFC12C864940
6269,Service Alberta Building,arts,18,20,"June 1, 2019",0103000020E61000000100000005000000B9084268F3845CC0CE29125D61864940B9084268F3845CC09F6637E96C864940D02456EBE9845CC09F6637E96C864940D02456EBE9845CC0CE29125D61864940B9084268F3845CC0CE29125D61864940
6270,Pavilions of Eau Claire,beliefs,16,18,"May 19, 2019",0103000020E6100000010000000500000004CB6CEB02855CC0C05EBC7A7086494004CB6CEB02855CC0F239C1487986494096D9D605F2845CC0F239C1487986494096D9D605F2845CC0C05EBC7A7086494004CB6CEB02855CC0C05EBC7A70864940
12540,Calgary Courts Centre,social,9,11,"June 6, 2019",0103000020E61000000100000005000000BB8C518DCD845CC028BBF48A02864940BB8C518DCD845CC088CFE7ED19864940D023EB15BB845CC088CFE7ED19864940D023EB15BB845CC028BBF48A02864940BB8C518DCD845CC028BBF48A02864940
